function,table,dataset,probe,sizes,phase,cycles,kcycles,instructions,L1-misses,LLC-misses,branch-misses,task-clock,scale,IPC,CPUs,GHz
rmi,chain,wiki,uniform,10Mx25M,sort,2239.86,34.72,416.45,25.66,12.01,0.98,490.05,10000000,0.19,1.00,4.57
rmi,chain,wiki,uniform,10Mx25M,insert,169.65,34.55,186.40,1.73,0.93,0.37,36.98,10000000,1.10,1.00,4.59
rmi,chain,wiki,uniform,10Mx25M,join,388.61,21.63,101.44,4.72,2.10,0.43,84.74,25000000,0.26,1.00,4.59
rmi,chain,wiki,uniform,25Mx25M,sort,2807.41,32.61,437.70,28.63,13.92,1.00,612.00,25000000,0.16,1.00,4.59
rmi,chain,wiki,uniform,25Mx25M,insert,161.22,29.01,180.05,1.62,0.96,0.33,35.13,25000000,1.12,1.00,4.59
rmi,chain,wiki,uniform,25Mx25M,join,353.86,0.27,87.37,4.38,2.37,0.36,77.11,25000000,0.25,1.00,4.59
mult,chain,wiki,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mult,chain,wiki,uniform,10Mx25M,insert,340.73,34.28,138.05,3.68,1.54,0.41,76.52,10000000,0.41,1.00,4.45
mult,chain,wiki,uniform,10Mx25M,join,333.75,21.89,66.09,4.81,2.25,0.44,72.78,25000000,0.20,1.00,4.59
mult,chain,wiki,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mult,chain,wiki,uniform,25Mx25M,insert,348.07,29.63,133.88,3.56,1.61,0.38,75.99,25000000,0.38,1.00,4.58
mult,chain,wiki,uniform,25Mx25M,join,305.48,0.25,52.24,4.12,2.57,0.41,66.57,25000000,0.17,1.00,4.59
mwhc,chain,wiki,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mwhc,chain,wiki,uniform,10Mx25M,insert,2686.47,95.61,745.49,29.44,13.20,2.19,587.32,10000000,0.28,1.00,4.57
mwhc,chain,wiki,uniform,10Mx25M,join,751.31,23.61,211.97,9.50,4.07,0.01,163.79,25000000,0.28,1.00,4.59
mwhc,chain,wiki,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mwhc,chain,wiki,uniform,25Mx25M,insert,2862.08,87.46,693.80,30.24,14.75,2.17,624.04,25000000,0.24,1.00,4.59
mwhc,chain,wiki,uniform,25Mx25M,join,730.35,0.57,186.27,8.97,4.57,0.00,159.29,25000000,0.26,1.00,4.59
rmi,linear,wiki,uniform,10Mx25M,sort,2238.78,36.08,416.43,25.69,11.94,0.98,490.10,10000000,0.19,1.00,4.57
rmi,linear,wiki,uniform,10Mx25M,insert,189.12,33.86,264.12,1.81,1.03,0.63,41.21,10000000,1.40,1.00,4.59
rmi,linear,wiki,uniform,10Mx25M,join,711.55,25.33,195.70,13.44,9.47,1.09,155.10,25000000,0.28,1.00,4.59
rmi,linear,wiki,uniform,25Mx25M,sort,2809.49,34.28,438.19,28.61,13.93,0.98,612.43,25000000,0.16,1.00,4.59
rmi,linear,wiki,uniform,25Mx25M,insert,221.08,31.13,362.84,3.67,1.04,0.59,48.20,25000000,1.64,1.00,4.59
rmi,linear,wiki,uniform,25Mx25M,join,739.44,0.70,257.32,15.59,11.38,1.07,161.18,25000000,0.35,1.00,4.59
mult,linear,wiki,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mult,linear,wiki,uniform,10Mx25M,insert,408.45,34.08,137.73,5.26,3.66,0.74,91.08,10000000,0.34,1.00,4.48
mult,linear,wiki,uniform,10Mx25M,join,389.93,22.94,95.39,7.20,5.29,0.83,85.01,25000000,0.24,1.00,4.59
mult,linear,wiki,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mult,linear,wiki,uniform,25Mx25M,insert,428.35,32.38,136.76,5.09,3.40,0.73,93.37,25000000,0.32,1.00,4.59
