threads,function,table,dataset,probe,phase,sizes,cycles,kcycles,instructions,L1-misses,LLC-misses,branch-misses,task-clock,scale,IPC,CPUs,GHz
24,rmi,chain,wiki,uniform,sort,10Mx25M,6450.53,136.40,3877.81,43.34,10.91,10.26,1539.26,10000000,0.60,22.09,4.19
24,rmi,chain,wiki,uniform,insert,10Mx25M,2070.03,579.33,1437.70,2.61,0.94,0.52,482.35,10000000,0.69,23.44,4.29
24,rmi,chain,wiki,uniform,join,10Mx25M,2519.05,332.38,1609.81,13.04,5.17,0.64,600.12,25000000,0.64,13.68,4.20
24,rmi,chain,wiki,uniform,sort,25Mx25M,396.86,35.16,250.41,3.41,1.17,0.56,92.47,25000000,0.63,1.00,4.29
24,rmi,chain,wiki,uniform,insert,25Mx25M,64.64,27.64,61.58,0.72,0.20,0.02,14.76,25000000,0.95,1.00,4.38
24,rmi,chain,wiki,uniform,join,25Mx25M,137.53,64.18,89.03,3.09,1.91,0.02,31.61,25000000,0.65,0.99,4.35
24,mult,chain,wiki,uniform,sort,10Mx25M,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
24,mult,chain,wiki,uniform,insert,10Mx25M,870.18,164.27,328.29,6.35,1.98,0.48,247.01,10000000,0.38,12.38,3.52
24,mult,chain,wiki,uniform,join,10Mx25M,2415.84,338.45,1585.45,12.53,5.27,0.63,579.63,25000000,0.66,13.49,4.17
24,mult,chain,wiki,uniform,sort,25Mx25M,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
24,mult,chain,wiki,uniform,insert,25Mx25M,75.09,29.58,34.65,0.78,0.13,0.02,17.37,25000000,0.46,1.00,4.32
24,mult,chain,wiki,uniform,join,25Mx25M,134.03,65.30,86.26,3.09,1.94,0.03,30.81,25000000,0.64,0.99,4.35
24,mwhc,chain,wiki,uniform,sort,10Mx25M,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
24,mwhc,chain,wiki,uniform,insert,10Mx25M,2794.66,103.39,874.29,29.66,13.03,2.24,662.96,10000000,0.31,1.46,4.22
24,mwhc,chain,wiki,uniform,join,10Mx25M,3215.45,335.13,1686.43,17.29,7.14,0.21,758.98,25000000,0.52,15.61,4.24
24,mwhc,chain,wiki,uniform,sort,25Mx25M,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
24,mwhc,chain,wiki,uniform,insert,25Mx25M,2174.51,86.83,533.00,23.98,11.47,2.20,475.04,25000000,0.25,1.00,4.58
24,mwhc,chain,wiki,uniform,join,25Mx25M,166.81,61.87,88.58,3.29,2.01,0.01,38.41,25000000,0.53,0.98,4.34
24,rmi,linear,wiki,uniform,sort,10Mx25M,7580.58,145.35,4795.85,47.68,11.60,10.01,1803.22,10000000,0.63,22.16,4.20
24,rmi,linear,wiki,uniform,insert,10Mx25M,3456.44,173.48,2711.71,2.27,1.07,0.88,804.03,10000000,0.78,24.02,4.30
24,rmi,linear,wiki,uniform,join,10Mx25M,2798.65,327.53,1650.38,18.52,9.43,1.26,663.62,25000000,0.59,14.39,4.22
