function,table,dataset,probe,cycles,kcycles,instructions,L1-misses,LLC-misses,branch-misses,task-clock,scale,IPC,CPUs,GHz
rmi,chain,gap10,uniform,1226.57,0.88,262.54,5.02,2.20,0.00,267.31,100000000,0.21,1.00,4.59
rmi,chain,gap10,80-20,1229.87,0.89,262.54,5.03,2.20,0.00,267.99,100000000,0.21,1.00,4.59
mult,chain,gap10,uniform,1478.91,1.10,235.07,6.36,2.79,0.53,322.30,100000000,0.16,1.00,4.59
mult,chain,gap10,80-20,1478.74,1.09,235.01,6.36,2.79,0.53,322.24,100000000,0.16,1.00,4.59
mwhc,chain,gap10,uniform,2021.85,1.57,363.79,12.07,5.29,0.00,440.57,100000000,0.18,1.00,4.59
mwhc,chain,gap10,80-20,2020.98,1.53,363.83,12.08,5.29,0.00,440.39,100000000,0.18,1.00,4.59
rmi,linear,gap10,uniform,1240.34,0.93,270.54,4.97,2.14,0.00,270.35,100000000,0.22,1.00,4.59
rmi,linear,gap10,80-20,1239.27,0.94,270.55,4.96,2.13,0.00,270.02,100000000,0.22,1.00,4.59
mult,linear,gap10,uniform,1235.86,0.92,244.96,5.33,2.55,0.52,269.32,100000000,0.20,1.00,4.59
mult,linear,gap10,80-20,1234.63,0.92,244.96,5.34,2.56,0.52,269.01,100000000,0.20,1.00,4.59
mwhc,linear,gap10,uniform,2073.64,1.58,370.86,11.95,5.26,0.00,451.92,100000000,0.18,1.00,4.59
mwhc,linear,gap10,80-20,2072.91,1.57,370.83,11.96,5.27,0.00,451.74,100000000,0.18,1.00,4.59
rmi,cuckoo,gap10,uniform,1283.17,0.95,272.79,6.11,3.20,0.84,279.71,100000000,0.21,1.00,4.59
rmi,cuckoo,gap10,80-20,1282.59,0.95,272.77,6.09,3.19,0.84,279.49,100000000,0.21,1.00,4.59
mult,cuckoo,gap10,uniform,1334.73,0.98,270.08,9.57,5.14,1.07,290.93,100000000,0.20,1.00,4.59
mult,cuckoo,gap10,80-20,1334.93,0.98,270.08,9.58,5.14,1.07,290.86,100000000,0.20,1.00,4.59
mwhc,cuckoo,gap10,uniform,2097.90,1.60,373.89,13.13,6.24,0.76,457.21,100000000,0.18,1.00,4.59
mwhc,cuckoo,gap10,80-20,2098.73,1.55,373.82,13.12,6.24,0.76,457.34,100000000,0.18,1.00,4.59
rmi,chain,fb,uniform,2560.42,1.90,271.35,11.95,5.76,1.29,558.04,86976116,0.11,1.00,4.59
rmi,chain,fb,80-20,2556.35,1.91,271.36,11.96,5.75,1.29,557.15,86976116,0.11,1.00,4.59
mult,chain,fb,uniform,1435.84,1.06,231.73,6.08,2.64,0.71,312.90,86976116,0.16,1.00,4.59
mult,chain,fb,80-20,1433.52,1.08,231.69,6.09,2.64,0.71,312.40,86976116,0.16,1.00,4.59
mwhc,chain,fb,uniform,1996.97,1.53,361.70,11.93,5.24,0.15,435.22,86976116,0.18,1.00,4.59
mwhc,chain,fb,80-20,2000.67,1.52,361.67,11.90,5.23,0.15,435.95,86976116,0.18,1.00,4.59
rmi,linear,fb,uniform,2195.90,1.61,468.92,21.10,19.61,1.19,478.54,86976116,0.21,1.00,4.59
rmi,linear,fb,80-20,2194.48,1.63,468.97,21.10,19.61,1.20,478.24,86976116,0.21,1.00,4.59
mult,linear,fb,uniform,1387.57,1.07,262.41,9.14,7.06,1.05,302.43,86976116,0.19,1.00,4.59
mult,linear,fb,80-20,1387.02,1.07,262.38,9.14,7.03,1.01,302.28,86976116,0.19,1.00,4.59
mwhc,linear,fb,uniform,2039.34,1.55,368.74,11.77,5.20,0.18,444.45,86976116,0.18,1.00,4.59
mwhc,linear,fb,80-20,2039.80,1.55,368.71,11.75,5.20,0.18,444.53,86976116,0.18,1.00,4.59
rmi,cuckoo,fb,uniform,1804.03,1.38,285.45,11.39,5.86,1.28,393.18,86976116,0.16,1.00,4.59
rmi,cuckoo,fb,80-20,1804.83,1.37,285.50,11.40,5.86,1.27,393.34,86976116,0.16,1.00,4.59
mult,cuckoo,fb,uniform,1299.43,0.98,253.63,8.02,4.36,1.25,283.17,86976116,0.20,1.00,4.59
mult,cuckoo,fb,80-20,1298.15,0.96,253.64,8.03,4.35,1.25,282.94,86976116,0.20,1.00,4.59
mwhc,cuckoo,fb,uniform,2065.40,1.57,371.76,12.99,6.20,0.92,450.03,86976116,0.18,1.00,4.59
mwhc,cuckoo,fb,80-20,2064.91,1.52,371.71,12.89,6.19,0.92,450.00,86976116,0.18,1.00,4.59
