threads,function,table,dataset,probe,cycles,kcycles,instructions,L1-misses,LLC-misses,branch-misses,task-clock,scale,IPC,CPUs,GHz
24,rmi,chain,gap10,uniform,1270.38,2.04,282.48,5.03,2.18,0.00,295.75,100000000,0.22,24.00,4.30
24,rmi,chain,gap10,80-20,1256.30,1.74,278.80,5.03,2.16,0.00,292.47,100000000,0.22,24.00,4.30
24,mult,chain,gap10,uniform,1467.55,2.45,257.65,6.38,2.64,0.48,341.68,100000000,0.18,24.00,4.30
24,mult,chain,gap10,80-20,1474.95,2.35,259.32,6.38,2.64,0.48,343.40,100000000,0.18,24.00,4.30
24,mwhc,chain,gap10,uniform,2062.35,3.19,389.37,12.05,5.16,0.00,480.19,100000000,0.19,24.00,4.29
24,mwhc,chain,gap10,80-20,2061.88,3.31,392.44,12.05,5.14,0.00,480.07,100000000,0.19,24.00,4.29
24,rmi,linear,gap10,uniform,1244.87,1.99,286.47,5.00,2.06,0.00,289.82,100000000,0.23,24.01,4.30
24,rmi,linear,gap10,80-20,1234.11,1.81,285.76,5.02,2.05,0.00,287.31,100000000,0.23,24.00,4.30
24,mult,linear,gap10,uniform,1257.24,1.83,265.86,5.28,2.33,0.55,292.70,100000000,0.21,24.00,4.30
24,mult,linear,gap10,80-20,1259.23,2.11,271.32,5.27,2.34,0.55,293.17,100000000,0.22,24.00,4.30
24,mwhc,linear,gap10,uniform,2058.57,3.14,394.74,11.95,5.04,0.00,479.32,100000000,0.19,24.00,4.29
24,mwhc,linear,gap10,80-20,2062.36,3.40,399.70,12.00,5.03,0.00,480.19,100000000,0.19,24.00,4.29
24,rmi,cuckoo,gap10,uniform,1432.77,2.28,314.01,9.83,5.22,1.18,333.59,100000000,0.22,24.00,4.30
24,rmi,cuckoo,gap10,80-20,1434.68,2.30,315.25,9.78,5.20,1.20,334.03,100000000,0.22,24.00,4.30
24,mult,cuckoo,gap10,uniform,1403.69,2.21,298.25,9.91,5.31,1.23,327.85,100000000,0.21,24.00,4.28
24,mult,cuckoo,gap10,80-20,1394.13,2.08,297.25,9.90,5.28,1.15,325.06,100000000,0.21,23.99,4.29
24,mwhc,cuckoo,gap10,uniform,2199.52,3.27,418.69,17.19,8.24,1.10,512.15,100000000,0.19,24.00,4.29
24,mwhc,cuckoo,gap10,80-20,2213.04,3.24,420.70,17.11,8.23,1.10,515.29,100000000,0.19,24.00,4.29
24,rmi,chain,fb,uniform,2518.52,3.79,300.15,12.38,5.63,1.31,586.42,86976116,0.12,24.00,4.29
24,rmi,chain,fb,80-20,2522.19,3.66,297.45,12.36,5.63,1.30,587.28,86976116,0.12,24.00,4.29
24,mult,chain,fb,uniform,1439.14,1.94,251.15,6.16,2.60,0.60,335.05,86976116,0.17,24.00,4.30
24,mult,chain,fb,80-20,1442.91,2.06,252.59,6.17,2.60,0.61,335.94,86976116,0.18,24.00,4.30
24,mwhc,chain,fb,uniform,2051.65,3.11,385.97,11.87,5.15,0.15,477.68,86976116,0.19,24.00,4.30
24,mwhc,chain,fb,80-20,2050.98,3.20,387.38,11.88,5.15,0.15,477.53,86976116,0.19,24.00,4.30
24,rmi,linear,fb,uniform,2531.07,4.92,492.86,18.12,15.86,1.21,589.45,86976116,0.19,24.00,4.29
24,rmi,linear,fb,80-20,2543.92,5.23,502.59,18.13,15.82,1.21,592.46,86976116,0.20,24.00,4.29
24,mult,linear,fb,uniform,1439.23,2.43,289.80,8.02,5.19,1.08,335.10,86976116,0.20,24.00,4.29
24,mult,linear,fb,80-20,1427.95,2.48,287.47,8.03,5.17,1.10,332.48,86976116,0.20,24.00,4.29
24,mwhc,linear,fb,uniform,2052.08,3.27,395.92,11.81,5.04,0.15,477.79,86976116,0.19,24.00,4.29
24,mwhc,linear,fb,80-20,2048.92,3.16,394.72,11.79,5.03,0.15,477.04,86976116,0.19,24.00,4.30
24,rmi,cuckoo,fb,uniform,1827.30,2.98,319.22,11.94,5.97,1.39,425.49,86976116,0.17,24.00,4.29
24,rmi,cuckoo,fb,80-20,1825.10,2.88,318.92,11.94,5.96,1.37,425.20,86976116,0.17,24.00,4.29
24,mult,cuckoo,fb,uniform,1385.16,2.17,291.66,9.61,5.19,1.32,322.50,86976116,0.21,24.00,4.30
24,mult,cuckoo,fb,80-20,1384.50,1.92,287.92,9.60,5.17,1.33,322.34,86976116,0.21,24.01,4.30
24,mwhc,cuckoo,fb,uniform,2213.06,3.34,418.84,16.84,8.21,1.27,515.28,86976116,0.19,24.00,4.29
24,mwhc,cuckoo,fb,80-20,2200.11,3.94,427.18,16.90,8.21,1.28,512.29,86976116,0.19,24.00,4.29
