function,table,dataset,cycles,L1-dcache-load-misses,LLC-load-misses,branch-misses
-,-,gap10,12437420810,331593556,27231037,23178818
rmi,chain,gap10,17894779357,446889828,46427645,23862251
mult,chain,gap10,17008202288,434206360,47767505,23579762
mwhc,chain,gap10,244344312558,2920580914,1015235307,239823645
rmi,linear,gap10,19435542381,483192999,29163268,24012335
mult,linear,gap10,18648557336,471369780,28598152,23958451
mwhc,linear,gap10,245810790318,2949317313,996526557,240552338
rmi,cuckoo,gap10,16345880101,390162410,30315967,23509046
mult,cuckoo,gap10,15459550840,378219078,27744828,23509609
mwhc,cuckoo,gap10,244604087332,2862587581,998699154,240536082
-,-,fb,124582136807,1565424381,256524064,1164628769
rmi,chain,fb,129171772010,1685218603,273748397,1183549760
mult,chain,fb,127196863032,1648259187,273113415,1167473693
mwhc,chain,fb,326168597846,3789603321,1110249800,1362741197
rmi,linear,fb,130344634785,1720200505,260633560,1156375561
mult,linear,fb,128583815629,1682727570,256708591,1160304486
mwhc,linear,fb,326174619214,3819181374,1096053738,1357274226
rmi,cuckoo,fb,127757083192,1633491754,259172847,1179180527
mult,cuckoo,fb,126931511416,1602155316,256891631,1181474652
mwhc,cuckoo,fb,323115270339,3736753487,1093630798,1366703444
