function,table,dataset,cycles,kcycles,instructions,L1-misses,LLC-misses,branch-misses,task-clock,scale,IPC,CPUs,GHz
rmi,chain,gap10,54.77,27.04,65.46,1.16,0.64,0.01,12.13,100000000,1.20,1.00,4.52
mult,chain,gap10,45.98,26.98,41.41,1.03,0.52,0.01,10.24,100000000,0.90,1.00,4.49
mwhc,chain,gap10,2312.54,84.88,545.47,25.85,12.46,2.18,504.38,100000000,0.24,1.00,4.58
rmi,linear,gap10,69.79,35.50,70.74,1.49,0.80,0.01,15.45,100000000,1.01,1.00,4.52
mult,linear,gap10,61.09,35.55,46.77,1.36,0.68,0.01,13.53,100000000,0.77,1.00,4.51
mwhc,linear,gap10,2329.43,93.34,551.03,26.21,12.62,2.18,508.07,100000000,0.24,1.00,4.58
rmi,cuckoo,gap10,38.92,22.43,51.99,0.59,0.16,0.00,8.71,100000000,1.34,1.00,4.47
mult,cuckoo,gap10,30.11,22.29,28.02,0.47,0.04,0.00,6.78,100000000,0.93,1.00,4.44
mwhc,cuckoo,gap10,2298.70,79.46,531.54,25.31,11.98,2.17,501.36,100000000,0.23,1.00,4.58
rmi,chain,fb,68.73,32.31,74.95,1.36,0.75,0.11,15.21,86976116,1.09,1.00,4.52
mult,chain,fb,46.08,27.27,41.51,1.03,0.52,0.01,10.25,86976116,0.90,1.00,4.49
mwhc,chain,fb,2309.95,87.14,547.76,25.68,12.46,2.18,503.91,86976116,0.24,1.00,4.58
rmi,linear,fb,84.20,41.08,79.81,1.72,0.91,0.12,18.58,86976116,0.95,1.00,4.53
mult,linear,fb,61.55,36.23,46.93,1.37,0.69,0.01,13.63,86976116,0.76,1.00,4.52
mwhc,linear,fb,2321.21,94.72,552.10,26.02,12.63,2.18,506.28,86976116,0.24,1.00,4.58
rmi,cuckoo,fb,52.99,27.72,61.33,0.79,0.27,0.11,11.84,86976116,1.16,1.00,4.48
mult,cuckoo,fb,30.46,22.67,27.91,0.47,0.04,0.00,6.89,86976116,0.92,1.00,4.42
mwhc,cuckoo,fb,2294.74,83.08,533.80,25.09,11.98,2.17,500.55,86976116,0.23,1.00,4.58
