function,table,dataset,probe,cycles,kcycles,instructions,L1-misses,LLC-misses,branch-misses,task-clock,scale,IPC,CPUs,GHz
rmi,chain,gap10,uniform,1068.33,27.91,209.86,11.14,5.04,0.01,233.08,100000000,0.20,1.00,4.58
rmi,chain,gap10,80-20,1066.53,27.51,209.69,11.15,5.04,0.01,232.72,100000000,0.20,1.00,4.58
mult,chain,gap10,uniform,1452.97,39.51,255.09,15.11,6.91,1.08,317.05,100000000,0.18,1.00,4.58
mult,chain,gap10,80-20,1447.11,39.74,255.55,15.07,6.91,1.08,315.67,100000000,0.18,1.00,4.58
mwhc,chain,gap10,uniform,4572.04,85.75,890.84,49.87,23.01,2.18,996.82,100000000,0.19,1.00,4.59
mwhc,chain,gap10,80-20,4564.08,85.51,891.15,49.85,23.02,2.18,994.95,100000000,0.20,1.00,4.59
rmi,linear,gap10,uniform,1106.38,36.34,250.98,11.36,5.06,0.01,241.36,100000000,0.23,1.00,4.58
rmi,linear,gap10,80-20,1101.68,36.66,251.20,11.40,5.04,0.01,240.33,100000000,0.23,1.00,4.58
mult,linear,gap10,uniform,966.46,36.19,159.57,12.18,5.91,0.99,210.89,100000000,0.17,1.00,4.58
mult,linear,gap10,80-20,962.30,36.09,159.50,12.17,5.90,0.99,209.94,100000000,0.17,1.00,4.58
mwhc,linear,gap10,uniform,4624.21,94.83,908.64,49.97,23.16,2.18,1008.15,100000000,0.20,1.00,4.59
mwhc,linear,gap10,80-20,4629.12,96.24,908.62,49.96,23.14,2.18,1009.32,100000000,0.20,1.00,4.59
rmi,cuckoo,gap10,uniform,1682.42,23.58,311.79,16.84,8.96,0.85,366.98,100000000,0.19,1.00,4.58
rmi,cuckoo,gap10,80-20,1681.70,23.53,311.79,16.81,8.96,0.84,366.78,100000000,0.19,1.00,4.59
mult,cuckoo,gap10,uniform,2529.84,24.26,997.29,24.13,12.87,1.66,551.67,100000000,0.39,1.00,4.59
mult,cuckoo,gap10,80-20,2534.44,24.22,997.20,24.13,12.86,1.66,552.67,100000000,0.39,1.00,4.59
mwhc,cuckoo,gap10,uniform,5256.71,81.93,989.44,55.78,26.92,2.93,1145.88,100000000,0.19,1.00,4.59
mwhc,cuckoo,gap10,80-20,5255.29,83.49,990.71,55.82,26.88,2.93,1145.79,100000000,0.19,1.00,4.59
rmi,chain,fb,uniform,3399.33,50.83,401.02,26.68,12.78,2.78,741.20,86976116,0.12,1.00,4.59
rmi,chain,fb,80-20,3382.21,50.36,401.28,26.54,12.76,2.78,737.61,86976116,0.12,1.00,4.59
mult,chain,fb,uniform,1319.66,37.21,219.42,14.23,6.42,1.53,287.92,86976116,0.17,1.00,4.58
mult,chain,fb,80-20,1314.17,37.15,219.39,14.28,6.42,1.53,286.73,86976116,0.17,1.00,4.58
mwhc,chain,fb,uniform,4530.26,87.62,888.19,49.17,22.92,2.54,987.73,86976116,0.20,1.00,4.59
mwhc,chain,fb,80-20,4488.92,87.01,889.62,49.23,23.33,2.54,1012.12,86976116,0.20,1.00,4.44
rmi,linear,fb,uniform,3764.19,43.25,703.14,41.18,37.07,2.46,820.75,86976116,0.19,1.00,4.59
rmi,linear,fb,80-20,3773.14,43.03,703.24,41.20,37.14,2.45,822.72,86976116,0.19,1.00,4.59
mult,linear,fb,uniform,1258.37,36.92,203.94,17.70,12.10,1.96,274.55,86976116,0.16,1.00,4.58
mult,linear,fb,80-20,1253.34,36.72,203.88,17.68,12.09,1.96,273.45,86976116,0.16,1.00,4.58
mwhc,linear,fb,uniform,4590.80,96.22,905.90,49.36,22.99,2.53,1000.87,86976116,0.20,1.00,4.59
mwhc,linear,fb,80-20,4588.05,97.52,906.80,49.44,22.98,2.53,1000.31,86976116,0.20,1.00,4.59
rmi,cuckoo,fb,uniform,3311.03,29.79,576.60,26.45,13.53,1.98,722.05,86976116,0.17,1.00,4.59
rmi,cuckoo,fb,80-20,3327.14,29.80,576.81,26.52,13.55,1.97,725.42,86976116,0.17,1.00,4.59
mult,cuckoo,fb,uniform,1646.23,24.00,239.51,18.11,9.68,1.70,359.08,86976116,0.15,1.00,4.58
mult,cuckoo,fb,80-20,1647.73,23.46,239.49,18.10,9.68,1.70,359.40,86976116,0.15,1.00,4.58
mwhc,cuckoo,fb,uniform,5193.08,84.22,984.25,55.11,26.75,3.24,1132.21,86976116,0.19,1.00,4.59
mwhc,cuckoo,fb,80-20,5204.47,84.27,983.66,55.20,26.75,3.24,1134.66,86976116,0.19,1.00,4.59
